Wall time,Step,Value
1752336024.388786,1,35.21129608154297
1752336059.617688,2,-92.06844329833984
1752336061.751274,3,30.0
1752336071.5004,4,-49.246009826660156
1752336083.957385,5,-55.225250244140625
1752336105.046368,6,-37.84779739379883
1752336143.368059,7,-106.98062896728516
1752336179.498001,8,-97.74562072753906
1752336212.616431,9,-2.4970788955688477
1752336216.453457,10,-25.819313049316406
1752336238.535273,11,-76.48660278320312
1752336258.819011,12,-80.2728271484375
1752336309.177177,13,-204.7282257080078
1752336329.053128,14,-44.92856979370117
1752336342.118689,15,-31.543781280517578
1752336356.787762,16,-48.83045196533203
1752336380.082747,17,-63.025184631347656
1752336403.171713,18,-115.83124542236328
1752336444.703989,19,-165.1271209716797
1752336458.167988,20,-31.59501838684082
1752336477.050842,21,-75.84248352050781
1752336546.071435,22,-68.90174102783203
1752336548.399926,23,-10.0
1752336561.575317,24,-46.01113510131836
1752336587.076508,25,-62.3311653137207
1752336606.362684,26,21.57447052001953
1752336609.402832,27,-14.779949188232422
1752336694.658374,28,-112.68714141845703
1752336726.97366,29,-89.91780853271484
1752336762.103301,30,-56.20260238647461
1752336861.118187,31,-101.6940689086914
1752336887.431393,32,-34.928768157958984
1752336926.95812,33,-30.144596099853516
1752336953.463872,34,-46.851478576660156
1752336978.58049,35,-41.30100631713867
1752337045.393074,36,-72.62418365478516
1752337068.706814,37,-56.59757995605469
1752337109.567912,38,36.50407409667969
1752337116.698217,39,-12.21458625793457
1752337160.861999,40,-41.868167877197266
1752337167.311366,41,34.37395477294922
1752337189.295586,42,-48.38788986206055
1752337208.892134,43,-40.278160095214844
1752337230.381311,44,-28.560150146484375
1752337267.335884,45,-51.840087890625
1752337300.450314,46,-40.45880126953125
1752337345.107686,47,-39.984500885009766
1752337362.736118,48,-30.042200088500977
1752337378.762005,49,-24.503259658813477
1752337417.201578,50,-14.099942207336426
1752337466.802787,51,-22.478288650512695
1752337526.70555,52,-78.10260009765625
1752337543.982066,53,-16.022480010986328
1752337580.224628,54,-19.998170852661133
1752337594.363713,55,-21.021224975585938
1752337620.438222,56,-43.46562576293945
1752337645.48114,57,-37.214385986328125
1752337700.562847,58,-30.678428649902344
1752337722.384782,59,-10.866836547851562
1752337755.604232,60,-55.542327880859375
1752337768.063782,61,-17.49984359741211
1752337806.114341,62,-55.334468841552734
1752337838.448004,63,-24.457992553710938
1752337862.41926,64,-10.984109878540039
1752337885.061707,65,-34.07662582397461
1752337895.919274,66,38.18833541870117
1752337902.452233,67,-20.101173400878906
1752337945.109705,68,-47.314727783203125
1752337992.357052,69,-32.122920989990234
1752338011.985593,70,-39.1682243347168
1752338032.340528,71,-27.916969299316406
1752338036.780525,72,31.8807430267334
1752338082.650981,73,-31.31248664855957
1752338100.950823,74,-4.700344562530518
1752338124.034432,75,-42.02048873901367
1752338145.223285,76,-19.064754486083984
1752338182.69155,77,-19.20951271057129
1752338225.618068,78,-69.90576171875
1752338281.831407,79,-45.874507904052734
1752338308.919286,80,-35.83136749267578
1752338357.098444,81,-25.106212615966797
1752338439.752193,82,-44.78350830078125
1752338481.398777,83,-39.87910461425781
1752338519.426258,84,-19.7004337310791
1752338575.876123,85,-55.663150787353516
1752338621.405352,86,-10.700435638427734
1752338660.417123,87,-27.190200805664062
1752338685.031259,88,-35.78068542480469
1752338731.677846,89,-40.69015884399414
