Wall time,Step,Value
1751618799.010825,1,34.290245056152344
1751618816.406512,2,-78.68959045410156
1751618840.51143,3,-155.42994689941406
1751618862.60365,4,-113.6827163696289
1751618876.293436,5,-14.809408187866211
1751618899.3729,6,-59.87126922607422
1751618934.904032,7,-98.33558654785156
1751618946.15754,8,-52.13861846923828
1751618957.431233,9,-40.93617630004883
1751618976.929005,10,-67.3207778930664
1751619013.059554,11,-90.8955307006836
1751619056.802927,12,-103.45756530761719
1751619074.282975,13,-33.392303466796875
1751619114.44595,14,-118.92645263671875
1751619147.964312,15,-170.52357482910156
1751619173.064482,16,-73.23463439941406
1751619193.949224,17,-35.1345329284668
1751619242.909344,18,-160.5515899658203
1751619263.809755,19,-34.2924690246582
1751619283.084842,20,-34.26152420043945
1751619299.961717,21,-27.51162338256836
1751619402.853951,22,-162.45249938964844
1751619416.921684,23,-48.888038635253906
1751619448.834615,24,-93.17142486572266
1751619463.302122,25,-53.764747619628906
1751619483.178126,26,-77.97565460205078
1751619539.16511,27,-197.41490173339844
1751619601.82648,28,-153.26950073242188
1751619627.552569,29,-55.87723159790039
1751619720.646404,30,-78.67538452148438
1751619759.217228,31,-58.6012077331543
1751619804.929301,32,-60.77545928955078
1751619824.208869,33,-49.37070083618164
1751619840.337512,34,-17.64759635925293
1751619893.04275,35,-40.7358512878418
1751619933.518951,36,-46.43003463745117
1751619957.487464,37,-32.1192626953125
1751620030.197177,38,-26.919052124023438
1751620039.159314,39,-22.015087127685547
1751620051.021845,40,-23.555339813232422
1751620126.598444,41,-33.19219970703125
1751620161.12392,42,-66.93984985351562
1751620176.971585,43,-36.15883255004883
1751620194.735082,44,-29.842998504638672
1751620213.637835,45,-32.314491271972656
1751620258.981739,46,-33.077850341796875
1751620294.68873,47,-36.701900482177734
1751620316.010303,48,-33.95759201049805
1751620346.3032,49,-50.793575286865234
1751620374.519345,50,-14.8818941116333
1751620398.528685,51,-24.556943893432617
1751620485.958354,52,-86.67562103271484
1751620557.996967,53,-61.98242950439453
1751620588.712268,54,-35.4515266418457
1751620619.611801,55,-29.96965980529785
