Wall time,Step,Value
1752955498.01168,84,-34.52263259887695
1752955540.669562,85,-107.71923065185547
1752955559.390121,86,-10.490182876586914
1752955590.339214,87,-77.27147674560547
1752955622.622174,88,-63.37945556640625
1752955636.797158,89,-35.190162658691406
1752955683.44954,90,-92.2975845336914
1752955705.342616,91,-34.467254638671875
1752955730.86278,92,-63.00090026855469
1752955759.400022,93,-73.13215637207031
1752955796.753541,94,-61.445255279541016
1752955825.347989,95,-36.161827087402344
1752955847.982968,96,26.17523956298828
1752955898.535959,97,-26.887197494506836
1752955921.776176,98,-51.60711669921875
1752955980.475269,99,-79.61351776123047
1752956030.81158,100,-72.122802734375
1752956051.510883,101,-48.836402893066406
1752956054.749868,102,30.231422424316406
1752956078.066823,103,-36.35767364501953
1752956134.123338,104,-74.01390838623047
1752956159.346662,105,-69.06138610839844
1752956187.855376,106,-17.81887435913086
1752956208.449062,107,-43.92009735107422
1752956221.50239,108,-32.42660903930664
1752956248.515306,109,-44.57365417480469
1752956258.778568,110,35.014705657958984
1752956296.505031,111,-52.78428268432617
1752956318.610314,112,-55.728458404541016
1752956338.500777,113,-40.07373809814453
1752956364.217832,114,-36.425418853759766
1752956388.744268,115,-21.765472412109375
1752956419.879109,116,-39.565032958984375
1752956425.34454,117,29.875492095947266
1752956457.449281,118,-40.888431549072266
1752956496.82895,119,-57.47963333129883
1752956535.538064,120,-66.77559661865234
1752956558.627527,121,-41.57884216308594
1752956572.905076,122,-30.115455627441406
1752956607.948722,123,-75.17340850830078
1752956682.507173,124,-96.74283599853516
1752956698.563346,125,-7.769754409790039
1752956734.094747,126,-22.384523391723633
1752956762.403997,127,-53.56208419799805
1752956793.557532,128,-74.04828643798828
1752956823.063786,129,-40.67448806762695
1752956869.037634,130,-26.623828887939453
1752956942.566494,131,-59.80907440185547
1752956954.844336,132,-25.949142456054688
1752957042.29764,133,-110.80384063720703
1752957071.743649,134,-31.348060607910156
1752957093.633508,135,-23.380258560180664
1752957122.559006,136,-37.16843032836914
1752957165.92516,137,-45.89699172973633
1752957171.866158,138,36.70602035522461
1752957196.437477,139,-11.543122291564941
1752957221.193796,140,-33.679447174072266
1752957261.739006,141,21.65766716003418
1752957271.185297,142,-24.469268798828125
1752957311.164958,143,10.869382858276367
1752957367.518784,144,-62.09251022338867
1752957398.244656,145,-59.01985168457031
1752957425.779861,146,46.48408889770508
1752957442.536755,147,-37.81470489501953
1752957464.111607,148,-59.34331512451172
1752957493.234114,149,-43.55896759033203
1752957526.759061,150,-52.88473129272461
1752957544.695653,151,-6.615015029907227
1752957692.289312,152,-161.61932373046875
1752957727.263935,153,-32.0417594909668
1752957750.622814,154,-13.307162284851074
1752957773.398204,155,-46.7769660949707
1752957795.34767,156,-40.1556396484375
1752957814.837856,157,-55.04706573486328
1752957850.391216,158,-47.76570129394531
1752957887.115611,159,-71.4364013671875
1752957940.506166,160,-62.282772064208984
1752957950.472306,161,41.13227844238281
1752957955.102592,162,-13.923912048339844
1752957981.545119,163,-25.45929527282715
1752958001.983761,164,-25.824548721313477
1752958064.636066,165,-42.82097625732422
1752958089.965804,166,-66.36344909667969
1752958103.042905,167,-33.96879196166992
1752958116.705209,168,-16.090307235717773
1752958142.445839,169,-24.944644927978516
1752958171.532421,170,-82.83657836914062
1752958229.625895,171,-58.78578186035156
1752958334.051805,172,-105.83564758300781
1752958416.118223,173,-60.711299896240234
1752958447.859726,174,-41.121177673339844
1752958469.324318,175,-71.4875259399414
1752958498.284144,176,-61.142879486083984
1752958541.647546,177,-32.58052062988281
1752958555.381637,178,-11.958486557006836
1752958577.407551,179,-40.859291076660156
1752958650.419921,180,-91.62751007080078
1752958673.149901,181,-36.8253173828125
1752958678.770616,182,34.579246520996094
1752958790.767575,183,-17.39402198791504
1752958821.090822,184,-65.71122741699219
1752958858.648459,185,23.01104164123535
1752958861.18389,186,30.0
1752958866.095954,187,-15.717879295349121
1752958882.204752,188,-35.89519500732422
1752958951.415476,189,-132.29727172851562
1752958967.896204,190,-13.557028770446777
1752959005.730831,191,-65.14144134521484
1752959018.297615,192,-38.19377517700195
1752959040.011752,193,-42.263092041015625
1752959086.595801,194,-60.08176803588867
1752959140.178283,195,-103.23963928222656
1752959167.292729,196,-54.903499603271484
1752959182.273445,197,-3.7014665603637695
1752959211.909986,198,-46.341033935546875
1752959254.635653,199,-68.01573181152344
1752959300.194072,200,-109.85452270507812
1752959349.98899,201,-48.421478271484375
1752959373.086738,202,-20.700260162353516
1752959386.158704,203,-27.567079544067383
1752959422.102847,204,-47.54620361328125
1752959436.993772,205,2.121940851211548
1752959478.752727,206,-60.987548828125
1752959517.656595,207,-47.75502395629883
1752959539.981911,208,-42.91839599609375
1752959602.843915,209,-61.44163513183594
1752959654.214734,210,-59.06330108642578
1752959697.153384,211,-54.045047760009766
1752959721.908586,212,-29.418367385864258
1752959751.370734,213,-31.9902400970459
1752959802.025367,214,-22.430946350097656
1752959836.163333,215,-42.541664123535156
1752959867.745687,216,-15.487944602966309
1752959891.348533,217,-4.344107151031494
1752959919.086727,218,-61.7259635925293
1752959947.94003,219,2.71728253364563
1752959978.903783,220,-29.62696075439453
1752960005.851554,221,41.47330856323242
1752960062.812483,222,-86.80747985839844
1752960091.724951,223,-35.64318084716797
1752960107.443499,224,-11.296589851379395
1752960121.120341,225,39.15607833862305
1752960137.798235,226,-44.43531799316406
1752960152.861059,227,-20.13272476196289
1752960168.577931,228,-6.9827375411987305
1752960184.258634,229,40.45029067993164
1752960207.151296,230,-51.254051208496094
1752960268.963334,231,-74.24166870117188
1752960290.872495,232,-22.588266372680664
1752960298.41601,233,37.09286117553711
1752960309.372424,234,-40.37147903442383
1752960417.50698,235,-114.94989013671875
1752960472.114251,236,-36.474578857421875
1752960486.816435,237,-44.842254638671875
1752960502.297116,238,-15.811488151550293
1752960548.689003,239,-21.642160415649414
1752960610.098534,240,-40.587528228759766
1752960621.541643,241,31.921659469604492
1752960631.213961,242,-30.8746337890625
1752960633.824919,243,30.0
