Wall time,Step,Value
1751568804.121693,1,34.24786376953125
1751568852.415432,2,-237.6258544921875
1751568869.282197,3,-64.98796081542969
1751568895.379959,4,-109.70490264892578
1751568918.866952,5,-89.1000747680664
1751568943.361658,6,-127.1759262084961
1751568970.668091,7,-56.59426498413086
1751568993.354324,8,-99.625244140625
1751569004.210733,9,-42.779239654541016
1751569032.314861,10,-96.10175323486328
1751569056.205351,11,-63.843650817871094
1751569080.093435,12,-43.7093620300293
1751569094.153145,13,-50.56367111206055
1751569098.590715,14,31.221445083618164
1751569122.287623,15,-70.27328491210938
1751569169.637662,16,-204.01171875
1751569191.923578,17,-57.59099578857422
1751569217.212989,18,-66.31000518798828
1751569317.296919,19,-207.7019500732422
1751569331.558229,20,-29.27758026123047
1751569429.652835,21,-79.09648895263672
1751569500.667608,22,-155.17771911621094
1751569545.521754,23,-83.58880615234375
1751569560.60635,24,-28.53460121154785
1751569591.904016,25,-69.00724029541016
1751569624.200873,26,-61.242889404296875
1751569659.35119,27,30.026674270629883
1751569675.415003,28,-32.5317497253418
1751569688.892612,29,-20.592174530029297
1751569704.760688,30,-12.728941917419434
1751569773.344423,31,-45.05259704589844
1751569789.412441,32,-6.739401817321777
1751569817.516354,33,-45.16462707519531
1751569846.427628,34,-33.69453811645508
1751569891.834417,35,-56.261173248291016
1751569926.524936,36,-31.76331901550293
1751569968.296936,37,23.58557891845703
1751569977.12717,38,-18.76314926147461
1751570005.247774,39,-38.73394012451172
1751570032.128194,40,-36.3206672668457
1751570049.202374,41,-21.585424423217773
1751570100.561295,42,-65.3946304321289
1751570113.623225,43,-32.797760009765625
1751570145.547301,44,-27.456398010253906
1751570163.413703,45,-34.00147247314453
1751570178.69822,46,-28.92702293395996
1751570220.423156,47,-33.40410232543945
1751570234.288961,48,-22.042329788208008
1751570279.637491,49,-55.41848373413086
1751570301.121259,50,-24.49625015258789
1751570337.859571,51,-35.0915412902832
1751570352.317641,52,-14.234343528747559
1751570416.537478,53,-65.8046875
1751570492.749625,54,-70.85504150390625
1751570522.250332,55,-37.07204818725586
1751570530.507348,56,36.88817596435547
1751570574.212387,57,-40.500946044921875
1751570587.106099,58,-23.58020782470703
1751570630.856132,59,-15.626346588134766
1751570646.302418,60,-34.26816940307617
1751570668.213281,61,-31.24697494506836
1751570688.079202,62,-12.67638874053955
1751570710.367901,63,-29.098722457885742
1751570766.155214,64,-48.889549255371094
1751570834.777044,65,-52.33903503417969
1751570858.869784,66,-28.95196533203125
1751570903.400845,67,-33.43546676635742
1751570915.674089,68,-31.497026443481445
1751570936.563611,69,-46.582298278808594
1751570953.832373,70,-33.434635162353516
1751570984.044285,71,-39.06492233276367
1751571004.819014,72,-8.496325492858887
1751571024.891837,73,-28.12198257446289
1751571046.406408,74,-55.089115142822266
1751571073.097084,75,-23.125831604003906
1751571089.562571,76,-42.60783004760742
1751571121.871976,77,-21.168872833251953
1751571149.177155,78,-44.440670013427734
1751571208.699521,79,-42.513389587402344
1751571256.321833,80,-55.56552505493164
1751571275.819688,81,-37.154335021972656
1751571294.915965,82,-7.902168273925781
1751571353.680329,83,-68.2950668334961
1751571374.573439,84,-44.95784378051758
1751571406.512409,85,15.857666969299316
1751571423.581974,86,-31.370250701904297
1751571448.090339,87,-57.28133773803711
1751571488.772981,88,-46.472137451171875
1751571514.303522,89,-26.860116958618164
1751571532.173786,90,-6.263110160827637
1751571565.692541,91,36.51460266113281
1751571570.928003,92,-12.251461029052734
1751571610.656699,93,-44.752342224121094
1751571645.987535,94,-11.628384590148926
1751571706.803574,95,-50.158634185791016
1751571719.98924,96,34.37392044067383
1751571753.777479,97,-33.61006546020508
1751571770.866086,98,31.55242919921875
1751571802.57652,99,-48.695716857910156
1751571816.082776,100,-30.127256393432617
1751571851.597261,101,-28.80547523498535
1751571886.687958,102,-36.45446014404297
1751571921.239873,103,-56.77094650268555
1751571945.900489,104,-20.394990921020508
1751571987.26848,105,-30.132081985473633
1751572021.778096,106,-37.880191802978516
1751572063.911687,107,-38.198734283447266
1751572112.457086,108,-65.0529556274414
1751572127.707654,109,-19.141172409057617
1751572175.932236,110,-38.305328369140625
1751572209.420028,111,-42.092620849609375
1751572309.508215,112,-85.45022583007812
1751572336.823555,113,-37.78104019165039
1751572350.882189,114,-21.409618377685547
1751572385.798747,115,-34.634273529052734
1751572398.079951,116,-15.370526313781738
1751572442.208891,117,-31.871261596679688
1751572505.044414,118,-31.31203842163086
1751572533.921264,119,-34.43283462524414
1751572591.797279,120,-23.00275421142578
1751572626.639501,121,-22.4813232421875
1751572661.964926,122,-26.665935516357422
1751572744.193944,123,-84.03947448730469
1751572770.701925,124,-37.15398025512695
1751572775.157572,125,32.11067581176758
1751572802.446224,126,-22.715774536132812
1751572844.582286,127,-8.715582847595215
1751572906.369943,128,-54.95322799682617
1751572951.728466,129,-45.45634460449219
1751572970.001766,130,-25.774320602416992
1751573009.326896,131,-17.62594985961914
1751573024.189986,132,-18.001285552978516
1751573026.534028,133,30.0
1751573102.078392,134,-43.30511474609375
1751573139.393375,135,-22.100852966308594
1751573147.061412,136,36.32500457763672
1751573167.119595,137,-36.62765121459961
1751573219.883514,138,-59.83767318725586
1751573262.045302,139,-51.25139236450195
1751573276.689922,140,-28.292444229125977
1751573321.434292,141,-66.0259780883789
1751573368.098591,142,-44.20902633666992
1751573383.675992,143,-18.41661262512207
1751573391.347396,144,34.71065139770508
1751573439.310206,145,-37.189666748046875
1751573451.968108,146,-12.133389472961426
1751573468.030807,147,-10.678740501403809
1751573495.732145,148,-55.607826232910156
1751573513.211292,149,-35.663726806640625
1751573516.074096,150,30.046218872070312
1751573530.934608,151,-34.81578063964844
1751573552.338328,152,-25.792024612426758
1751573580.5225,153,-30.381650924682617
1751573614.651798,154,-37.75430679321289
1751573632.529135,155,-33.66879653930664
1751573685.629833,156,-39.94236755371094
1751573701.581626,157,-29.626300811767578
1751573723.075279,158,-27.46123504638672
1751573771.571737,159,-76.04434967041016
1751573799.544882,160,41.69786071777344
1751573810.191424,161,-35.279788970947266
1751573817.73944,162,33.91844940185547
1751573840.948204,163,35.59599685668945
1751573874.878556,164,-61.277503967285156
1751573901.737679,165,-11.492047309875488
1751573929.096702,166,36.19343185424805
1751573947.165792,167,-14.944567680358887
1751573975.668444,168,-20.925033569335938
1751573990.968259,169,44.39525604248047
1751574014.86465,170,-39.18471908569336
1751574068.212351,171,2.8648529052734375
1751574080.847825,172,-26.945884704589844
1751574129.848509,173,-42.26618194580078
1751574170.978315,174,-26.76764488220215
1751574212.741729,175,45.35874557495117
1751574221.77031,176,-26.65959358215332
1751574259.11134,177,17.69960594177246
1751574272.780656,178,-18.315444946289062
1751574295.276257,179,-21.313396453857422
1751574297.610389,180,30.0
1751574345.656666,181,-31.76602554321289
1751574371.748381,182,-7.495365619659424
1751574389.44967,183,-11.609332084655762
1751574438.630848,184,-21.294349670410156
1751574467.10852,185,-29.121646881103516
1751574482.784029,186,-12.872838973999023
1751574510.695287,187,-36.90369415283203
1751574548.421923,188,-75.82402038574219
1751574580.303961,189,40.645240783691406
1751574594.378308,190,-28.513139724731445
1751574625.929836,191,-15.169612884521484
1751574655.23199,192,-29.238582611083984
1751574687.537716,193,-12.694515228271484
1751574736.487588,194,-9.672636032104492
1751574775.239643,195,-43.632102966308594
1751574804.026524,196,26.585668563842773
1751574852.91349,197,-35.14421081542969
1751574895.22978,198,-6.222515106201172
1751574916.513568,199,-20.185237884521484
1751574954.277232,200,-16.228593826293945
1751575016.872503,201,-40.07075119018555
1751575072.856447,202,-23.2261905670166
1751575121.214261,203,-14.878817558288574
1751575170.374181,204,-24.13237953186035
1751575182.243799,205,35.649757385253906
1751575201.128323,206,-33.4245491027832
1751575208.385068,207,33.72657775878906
1751575237.484376,208,-41.918617248535156
1751575273.62889,209,19.412532806396484
1751575279.465535,210,-17.143522262573242
1751575334.659959,211,-39.35803985595703
1751575372.179082,212,-43.85700225830078
1751575389.457961,213,-7.9676642417907715
1751575413.740509,214,22.519752502441406
1751575448.278267,215,-19.70342254638672
1751575472.773544,216,-29.084989547729492
1751575498.494191,217,40.29711151123047
1751575501.135382,218,-10.0
1751575522.618216,219,-24.27410125732422
1751575538.27349,220,-11.300491333007812
1751575564.314835,221,41.0661735534668
1751575573.626782,222,-13.275930404663086
1751575598.047548,223,-14.617837905883789
1751575615.822631,224,-6.844177722930908
1751575631.544852,225,-11.421834945678711
1751575663.239112,226,-20.8280029296875
1751575679.87549,227,29.061254501342773
1751575722.490803,228,-15.390146255493164
1751575738.841509,229,-16.453754425048828
1751575758.66996,230,23.202903747558594
1751575777.110109,231,-50.140296936035156
1751575802.229608,232,-8.265533447265625
1751575845.678473,233,-26.91221046447754
1751575903.253382,234,-50.17063522338867
1751575968.181065,235,-39.80699157714844
1751575991.265656,236,-13.101147651672363
1751576005.936162,237,32.66460037231445
1751576036.635359,238,-17.935503005981445
1751576052.502927,239,-18.40860366821289
1751576060.176446,240,35.70429992675781
1751576073.417412,241,-9.187664031982422
1751576088.731116,242,37.38998031616211
1751576125.816551,243,9.619017601013184
1751576160.751047,244,-31.32992935180664
1751576205.111233,245,-11.78541374206543
1751576222.818806,246,-9.346335411071777
1751576249.890547,247,26.946229934692383
1751576280.607035,248,-1.5299592018127441
1751576307.347311,249,-1.8664180040359497
1751576335.034678,250,-26.92257308959961
1751576348.881895,251,-4.946773529052734
1751576384.00899,252,-30.006372451782227
1751576405.120455,253,-18.85788917541504
1751576416.175825,254,33.131675720214844
1751576422.812496,255,-13.519373893737793
1751576443.118833,256,36.01735305786133
1751576451.975506,257,-19.19094467163086
1751576483.674288,258,-2.486783266067505
1751576525.834785,259,-34.988040924072266
1751576565.16591,260,-33.20126724243164
1751576586.443508,261,-12.74177360534668
1751576607.935289,262,-22.95368766784668
1751576647.889139,263,-62.66082000732422
1751576666.792429,264,29.953523635864258
1751576717.314101,265,-66.98080444335938
1751576745.057658,266,-21.126419067382812
1751576789.743111,267,-36.679534912109375
1751576802.845941,268,-10.96468734741211
1751576823.950602,269,-10.675483703613281
1751576845.026977,270,1.0630559921264648
1751576868.71272,271,-12.223615646362305
1751576891.420869,272,43.37910079956055
1751576903.491268,273,-11.693324089050293
1751576924.984532,274,37.622901916503906
1751576945.444763,275,-41.82447052001953
1751576957.939414,276,36.008209228515625
1751576971.340939,277,-19.627010345458984
1751576983.691269,278,-3.64786696434021
1751577009.980883,279,-24.009851455688477
1751577038.300071,280,-25.90497398376465
1751577056.591797,281,-4.60945463180542
1751577071.861174,282,-5.902621269226074
1751577099.559388,283,-23.06700897216797
1751577114.621937,284,-3.6537082195281982
1751577167.013055,285,-43.690853118896484
1751577196.335423,286,36.90394592285156
1751577205.37992,287,-24.901700973510742
1751577234.593645,288,-22.98200035095215
1751577261.790976,289,-13.550361633300781
1751577276.03791,290,-4.662219047546387
1751577317.009063,291,-20.126667022705078
1751577329.285362,292,34.214393615722656
1751577348.158981,293,40.22760772705078
1751577358.195975,294,-12.868264198303223
1751577376.084143,295,-16.804656982421875
1751577444.863349,296,-69.54684448242188
1751577490.426787,297,-49.735443115234375
1751577525.558962,298,-15.645918846130371
1751577553.449646,299,-5.552257061004639
1751577563.541386,300,38.24990463256836
1751577582.613874,301,29.226308822631836
1751577598.700434,302,-41.63608169555664
1751577619.990007,303,-12.024545669555664
1751577629.823809,304,35.335418701171875
1751577650.309775,305,-44.178226470947266
1751577676.070469,306,-16.15431785583496
1751577707.956322,307,-29.660139083862305
1751577750.893606,308,-17.207172393798828
1751577771.579295,309,-19.50505256652832
1751577793.872254,310,43.46858596801758
1751577822.778777,311,-19.13932228088379
1751577851.292149,312,-22.07170295715332
1751577873.020995,313,48.08388137817383
1751577879.048429,314,-17.689693450927734
1751577897.102797,315,-13.156188011169434
1751577910.587655,316,38.9125862121582
1751577946.086536,317,-61.960609436035156
1751577964.092407,318,-9.185518264770508
1751577991.486698,319,-11.289670944213867
1751578020.221574,320,-19.950929641723633
1751578037.085904,321,-1.6569664478302002
1751578051.368846,322,-3.9316318035125732
1751578064.420746,323,-3.4991888999938965
1751578083.101882,324,-7.165791034698486
1751578108.39032,325,45.95262908935547
1751578127.661249,326,-23.323232650756836
1751578140.929408,327,-1.0630134344100952
1751578155.638066,328,-2.433035135269165
1751578165.689745,329,37.329254150390625
1751578170.325965,330,-16.686744689941406
1751578185.999356,331,-19.278175354003906
1751578234.778623,332,26.076412200927734
1751578245.227636,333,-18.47942543029785
1751578259.500358,334,-3.9031310081481934
1751578278.005645,335,47.75191116333008
1751578294.077964,336,29.530664443969727
1751578304.500943,337,-20.791990280151367
1751578321.397819,338,-18.255596160888672
1751578337.286208,339,41.82162857055664
1751578370.181519,340,-31.916641235351562
1751578387.880511,341,-8.945879936218262
1751578408.369148,342,29.72283363342285
1751578426.237876,343,44.7548828125
1751578450.298772,344,-25.950510025024414
1751578461.593019,345,30.10016632080078
1751578473.481156,346,-1.9195281267166138
1751578487.921995,347,-2.8607723712921143
1751578522.264229,348,-30.66774559020996
1751578542.35704,349,-8.482057571411133
1751578567.452958,350,24.18153953552246
1751578576.145233,351,31.074953079223633
1751578582.774553,352,-19.54996681213379
1751578594.230679,353,39.049705505371094
1751578623.175901,354,-40.10723876953125
1751578634.404374,355,42.26017379760742
1751578638.451584,356,30.037004470825195
1751578647.084806,357,-11.464245796203613
1751578661.369349,358,-6.754052639007568
1751578706.079443,359,8.090645790100098
1751578722.8046,360,-11.08907699584961
1751578740.505174,361,-16.643020629882812
1751578758.383866,362,38.74928283691406
1751578782.471498,363,-13.525640487670898
1751578794.513065,364,-9.688725471496582
1751578808.007616,365,36.67014694213867
1751578815.060752,366,-11.781721115112305
1751578843.847146,367,41.593326568603516
1751578854.030647,368,-9.029725074768066
1751578874.127756,369,41.11064147949219
1751578930.352165,370,-75.1883544921875
1751578944.21386,371,39.516971588134766
1751578971.891834,372,-23.56340217590332
1751578988.577223,373,41.19981384277344
1751579002.044427,374,-35.34614944458008
1751579029.749066,375,-11.307738304138184
1751579046.824507,376,40.691497802734375
1751579057.876189,377,-27.9864501953125
1751579078.155396,378,-16.743192672729492
1751579093.227517,379,-4.082301139831543
1751579126.364326,380,-28.123497009277344
1751579133.615247,381,36.147342681884766
1751579156.69796,382,-35.68301773071289
1751579177.590435,383,-11.77535343170166
1751579203.681276,384,46.83835983276367
1751579226.696322,385,-39.94882583618164
1751579248.6771,386,48.801414489746094
1751579265.97416,387,-40.76220703125
1751579300.346835,388,32.518699645996094
1751579310.780177,389,-26.88612174987793
1751579330.247002,390,-10.889594078063965
1751579343.706821,391,35.98160171508789
1751579352.198156,392,-24.14239501953125
1751579385.30261,393,-8.855859756469727
1751579419.779317,394,-41.581974029541016
1751579457.521781,395,-37.58534622192383
1751579471.81059,396,-8.221090316772461
1751579485.693091,397,-7.055978298187256
1751579500.564824,398,34.811500549316406
1751579509.830199,399,-20.01113510131836
1751579589.437913,400,-52.805419921875
1751579605.686996,401,-24.67563819885254
1751579626.991439,402,28.766279220581055
1751579636.100585,403,-12.164947509765625
1751579646.553115,404,34.281158447265625
1751579661.990793,405,-17.97442626953125
1751579690.260783,406,-18.36749839782715
1751579707.992504,407,-13.584749221801758
1751579716.834215,408,36.50141525268555
1751579727.689984,409,-20.737869262695312
1751579746.372084,410,-15.433226585388184
1751579763.845844,411,-3.3118629455566406
1751579778.505425,412,37.989341735839844
1751579788.179411,413,-29.678428649902344
1751579803.870955,414,39.08366775512695
1751579811.895269,415,-21.856630325317383
1751579824.969206,416,-3.3703393936157227
1751579842.897399,417,38.30317306518555
1751579856.55213,418,-29.64015769958496
1751579874.432524,419,-14.789799690246582
1751579909.149882,420,-10.768631935119629
1751579926.630098,421,-7.209181785583496
1751579945.901975,422,-19.481172561645508
1751579960.214594,423,-12.568519592285156
1751579986.326629,424,34.820796966552734
1751580002.39403,425,-29.33465576171875
1751580016.4858,426,40.882320404052734
1751580029.008687,427,-14.199910163879395
1751580045.433515,428,-12.410983085632324
1751580067.516775,429,-9.586630821228027
1751580086.591991,430,-6.119837284088135
1751580104.487362,431,-14.86485767364502
1751580116.749672,432,-2.964570999145508
1751580130.816095,433,42.10176086425781
1751580155.327788,434,23.703411102294922
1751580159.96919,435,-15.88521957397461
1751580177.675653,436,49.49952697753906
1751580204.166501,437,-25.183778762817383
1751580228.871908,438,-25.13910484313965
1751580248.132228,439,-5.199056625366211
1751580262.625878,440,-3.023430109024048
1751580280.597906,441,-11.856701850891113
1751580312.01783,442,-26.791603088378906
1751580333.516583,443,29.396196365356445
1751580342.969751,444,-15.59976863861084
1751580373.700598,445,-18.49715805053711
1751580392.200102,446,-10.944022178649902
1751580406.459947,447,-12.719459533691406
1751580427.959012,448,47.13176727294922
1751580434.999324,449,-17.53459358215332
1751580451.65963,450,39.41395568847656
1751580498.45508,451,-50.61819839477539
1751580520.925576,452,-16.6674747467041
1751580538.404042,453,-2.94895601272583
1751580563.51621,454,45.60615921020508
1751580589.001121,455,-20.38875389099121
1751580594.675345,456,33.492225646972656
1751580633.813738,457,-0.24362322688102722
1751580661.43077,458,-22.696229934692383
1751580700.025376,459,-31.020177841186523
1751580714.506133,460,-4.130682468414307
1751580729.102781,461,36.064117431640625
1751580766.924977,462,-51.16298294067383
1751580781.185632,463,-3.7623677253723145
1751580798.479748,464,-4.7731733322143555
1751580816.499847,465,37.5611457824707
1751580820.613994,466,-12.84300422668457
1751580836.692924,467,-6.7382307052612305
1751580863.022135,468,33.41590118408203
1751580875.497404,469,35.04804229736328
1751580892.346669,470,-16.44744300842285
1751580909.238962,471,-6.916817665100098
1751580932.93356,472,-7.412123203277588
1751580949.423039,473,-6.52510404586792
1751580969.50099,474,-7.488144397735596
1751580987.995344,475,46.845401763916016
1751581021.701411,476,22.26369285583496
